year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2005,635387.3,161426.3,911663.7,911663.7,6794241.6,883134.9,820858.6,208614,339470.5,2823407.4,1558150.7,229477.7,194571.2,2359247.4,992681.9,617066.6,422105.2,580044.3,798378.8,188314.2,1048400.1,1367972.7,1601075.4,981522.2,329794,911885,123503.1,298257.8,464664.7,227810.6,1742946.8,295645.7,4064150.2,1421878.8,98800,1875566.5,500326.4,574031.1,2046925.6,177496.5,581614.7,123989.5,926534,3981009.8,381420.5,94434.5,1432278.9,1174703.9,213970,909187.8,110305.1
2006,665876.1,180376.4,983827.7,383500.5,7248839.9,930586.9,879073.7,220697.5,352500.1,3002095.4,1624062.5,243385.9,204503.1,2496971.8,1038411.1,511585.3,456367.6,613633.8,831095,196181.8,1096581.3,1437080,1607475.9,1009183.7,348397.8,945543.9,132664.4,315255.3,503393.1,240068.1,1830372.6,310441.6,4300618.3,1550100.2,106002.6,1930952.3,549746.1,614372.5,2125096.2,188817.5,614590.9,129457.9,974335.5,4412790.6,426149.1,97326.1,1504943,1257060.9,228040,950277.3,130961.3
2007,691900.8,198335,1045567.9,393526.6,7595608,993786.1,938162.7,226451.3,375141.7,3130850.1,1678425,256654.5,215738,2600580.5,1094038.1,551720.7,495514.9,628654.7,812164,201837.2,1131862.3,1514076.3,1638461.5,1048252.5,364765.6,977325.2,144933,335339.3,526483.4,247128.5,1899471.5,323199.2,4477526,1605963.7,116301.7,1991045.9,583008.3,638340.7,2263327.1,189363.1,650985.4,140292,994769.6,4764372.3,459253.7,99190.8,1566799.4,1368096.9,237093.8,983357.9,147803.1
2008,698105.2,220489.9,1051704.2,398827.1,7778781.4,1035486.9,955747.3,221839.2,397986,3053366.1,1665510.5,262712.7,224803.1,2618629.9,1102154.8,550193.8,514417.3,639535.3,849569.6,202852.8,1181600.8,1563113.6,1561683.7,1069682.5,378057.9,1016183.1,148899.6,342511.8,522438.1,246800.9,1984908.7,338753.5,4466364.2,1675173.7,127497.8,1987677.7,643054.8,659701.8,2352098.5,189109.8,655544.7,146412.2,1016967.8,4977179.5,468715.7,103997,1618539.6,1419176.3,250779.2,987258.1,171277.2
2009,683723.5,199831.1,985697.3,390032.6,7560663.5,1004910.7,933162.8,231398.7,401784.1,2941683.9,1638363.2,258198.9,216256.2,2599451,1053307.2,547578.4,501395.7,629919.3,819627.6,204495.3,1196410.8,1562019.3,1474935.1,1048355.8,367168.9,1013270.7,144751,347481.7,488508.4,250091.4,1929835.4,329846.1,4640325.2,1644623.2,128904,1929124.3,586532.3,638429.3,2328579.2,190808.7,647254,145731.6,1009331.2,4678430.6,455941.7,104396.7,1643869.8,1404980.2,254402.8,988839.9,145007.9
2010,708996.6,213326.4,1004612.2,405946.1,7816370.8,1033201,938800,232654.1,424587.5,2987715.6,1672365.1,267491.9,222350.2,2665619.4,1130248.6,568935.7,514365.4,665634.7,901235.7,209024.8,1258913.2,1644544.4,1560171.9,1096925.3,375772.5,1039264.5,153344.2,366246.1,498677.7,259374.3,1971049.6,338446.2,4894118.7,1680110.3,142704.6,2002061.4,617149.8,656548.7,2418947.2,197873.4,663440,151409.9,1031103.8,4983837.7,474679.2,109626.4,1707969.6,1461991,263994.6,1025731.6,150722.9
2011,735666.5,227585.5,1043662.9,423072.4,8094000.2,1070064.2,932635,245488.9,438921.5,3020960,1726615.6,276335.5,227764.4,2771523.2,1165424.4,593910.5,545435.5,686347.6,919779.9,210301.9,1305124.9,1702091.9,1618218.8,1148157.4,384872.1,1048268.3,163980.3,399684.4,510711.5,264612.6,1983863.3,348251.3,4990423.1,1726890.9,166350.6,2112759.8,664943.3,682523.6,2499278.9,200824.4,688300.4,167568.3,1079257,5365337.5,502259.9,113674.6,1740721.1,1518299.3,276936.3,1065457.4,159005.5
2012,756982.1,233134.6,1085760.1,433968.4,8452385.8,1107292.5,963647.8,249418.5,448627.9,3114180.2,1791058.7,287621.1,233295.8,2905596.4,1202055.6,634153.5,567272.8,712574.8,941538.8,214718.8,1330094,1771667.7,1690764.8,1193313.2,401793.8,1086140.6,169363.4,410903.8,517251.7,273992.3,2068783.3,351700.9,5312934,1780381.3,207330.2,2182960.6,699497.7,698443.8,2591703.4,206332.1,710472.7,175606,1145365.8,5684720.5,518050,116965,1783894.5,1602122.3,281288.8,1108428.4,155421.6
2013,779147.7,228990.8,1114366.5,452909.3,8881559.5,1168561.9,966069.9,246864.7,458160.5,3247006.7,1859011.4,298219.8,247343.1,2964485.9,1248553.8,648801.1,577932.8,738097.4,923329.9,217880.4,1362310.4,1817284.8,1749097.7,1244505.6,409484.1,1122284.1,174751.6,429042.9,528345.7,281904.8,2136711.2,355027.4,5462116,1849075.7,217083.9,2266129.6,730778.9,718110.7,2674276.2,212136.3,740036.2,181444.2,1183451,6060782.3,541801.5,117158.2,1830561.9,1676369.5,285926,1137083.4,157159.1
2014,789627.4,225939.8,1150666.6,464557.8,9341146,1238170.3,986387.9,273418.8,477658.5,3406769.5,1960317,307093.2,258300.8,3085424.4,1311833.2,692383.6,600734.4,751935.2,962949.1,225643.2,1411045.5,1881874.2,1807092.8,1299005.5,417201,1150029.7,180708.8,447783.7,544034.6,291980.9,2171371.2,368742.8,5723693.4,1932765.2,239705.1,2382563.6,786526.5,752482.6,2776570.4,218238.7,777410.7,187141.5,1224612.6,6317197.9,568600.5,120397.5,1860727.2,1762591.9,290592.8,1182784,161242.4
2015,809489.6,205963.6,1197573,471147.1,9894223.5,1282884.2,1037951.1,287655.7,498418.7,3634079.6,2084032.7,324921.2,263599.7,3199721.9,1327782.6,721197.1,619832.8,773652.2,940454.1,232525.3,1478912.2,1995405.3,1899933.3,1342120.6,423658.4,1187717.3,186416.2,466058.4,580463.8,305911.9,2252935.3,361097.3,5950510.7,2035714.9,223987.6,2444077.9,747262.4,802638.3,2856811.4,225563.2,823266.7,192280.7,1301176.2,6293993.5,596613.5,123733,1935145.9,1866758.9,285274.2,1230031.7,153707.6
2016,829473.5,202910.6,1252325.5,476609.6,10278536.1,1319647,1054681.2,277419.9,518594.3,3813410.2,2190186.7,335657.4,275349.8,3228172.9,1362002.8,724045.5,641804.2,785939.8,908362.7,241017.6,1550933.6,2058550.3,1961056,1376243.2,429165.5,1203658,181963.6,472583.7,607361.5,316360.5,2302003.9,359077.7,6205416.4,2104119.1,207956.8,2493061.3,724977.6,845223.4,2906247.8,229413.9,860480.9,196605.8,1345655.7,6316059.5,631309.3,126644.7,1984084.4,1949100.5,283697.7,1256293,143515.8
2017,860343.8,212357.4,1321664.6,489400.7,10923895.7,1395592.3,1086330.7,275055.1,533564.7,4010272.3,2297617.7,348711.3,286753.7,3308300.7,1412601.2,734199,659693.1,806220.1,966816.9,249651.6,1601624,2129417.1,2007006.5,1418737,439850,1234888.3,193757.8,487785,643139.8,322663.4,2345498.5,369244.4,6415613.5,2198682.4,220911.9,2566983.3,762698.1,890455.1,2980045.1,231763.1,892179.6,201197.5,1399350.8,6708443.6,672233.5,128987.7,2039571.5,2079771.4,299197.8,1273456.8,147454.8
2018,896187.7,218846.9,1399629.8,509225.9,11580404,1485698.4,1122768.2,289952,559139.3,4231449.4,2409360.5,361105.6,309975.5,3470142.1,1494073.4,761612.3,689310.1,833001.2,1023241,261967.6,1644398.9,2256189.3,2083210.5,1493677.9,449627,1277575.5,203615.1,507690.9,681411.4,335376.1,2454034.7,389076.7,6779831.5,2279926.8,236370.6,2667895.6,809866.5,948264.1,3090445.6,236516,934661.3,209617.1,1445526.1,7238825.8,730574.3,132130.7,2127028.3,2257922.9,316179.1,1329054,156129
2019,924687.4,218188.4,1479952.8,523359.5,12210580.9,1568871.9,1152436.4,308168.7,577622.7,4465741.8,2551194.8,367124.5,329680.5,3561944.3,1524081.3,777290.4,706954,864406.2,1018248.1,273811.7,1686437.9,2373026.8,2125738.4,1532158.6,458935.3,1329091.5,207157.3,525409.7,726973.3,350030.5,2557746.8,407886.1,7111007.1,2382621.5,236018.2,2772797.2,814799,986588.2,3198744.8,245276.3,978649.2,215759.5,1507665.9,7455815.4,780353.6,136510,2217223.3,2391495,316558.7,1378899.3,158403.4
2020,907585.8,199279.9,1494875.9,523002.8,12028750.7,1530338.6,1105691.6,303146,578219.1,4424142.1,2490511.4,331538.4,335286.4,3433467.5,1501346.8,777070.5,700567.2,850158.3,941749.5,277087.2,1642698.7,2329907.3,2060479.7,1494957.2,455382.6,1317468.6,206035.4,533756.1,683775.2,350484.2,2474317,393888.5,6899036.2,2359316.1,219416.8,2710244.7,752226.6,975107.4,3087591.7,242225.4,979526.7,219157.6,1478297,7102351.3,790247.7,133739.8,2198143.2,2417015.2,303419.8,1350856.2,145293.7
2021,988369.8,219880.4,1644767,578181.7,13426525.6,1687765.8,1185990.2,322872.9,608031.5,4905189.8,2733208.4,360237.8,377267.1,3753389.3,1681356.8,879366.8,769214.5,937992.7,1021226.3,304229,1752939.6,2546057.4,2273652.7,1648003,500440.2,1439808,237211.3,601550.8,771855.1,392967.3,2688357.5,435711.9,7415703.6,2619942.8,253547.3,2945799.4,827001.8,1067772.2,3357746.2,263756.9,1080316.1,244821.9,1673176.7,7941274.2,881368.1,144680.4,2367404.2,2670307.1,349577.9,1463725.1,166489.7